Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,154.16,-2.39,8.15
100,141.88,-1.67,8.30
150,138.54,-1.53,8.31
200,126.00,-1.20,8.31
250,121.22,-1.09,8.33
300,116.86,-0.93,8.32
350,107.16,-0.82,8.31
400,101.82,-0.71,8.31
450,101.74,-0.75,8.33
500,100.60,-0.69,8.31
550,101.52,-0.75,8.33
600,100.20,-0.75,8.32
650,104.60,-0.92,8.31
700,104.46,-0.98,8.28
750,117.46,-1.39,8.30
800,119.34,-1.55,8.30
850,123.40,-1.61,8.31
900,121.94,-1.65,8.30
950,124.52,-1.85,8.33
1000,131.16,-2.22,8.32
1050,127.36,-2.02,8.29
1100,129.22,-2.10,8.31
1150,128.84,-1.88,8.33
1200,127.98,-1.96,8.31
1250,128.54,-2.04,8.30
1300,132.34,-2.28,8.29
1350,129.62,-2.22,8.31
1400,124.92,-2.00,8.16
1450,126.50,-2.02,8.35
1500,121.42,-1.81,8.32
1550,124.82,-2.00,8.33
1600,124.82,-2.02,8.31
1650,119.36,-1.85,8.32
1700,116.18,-1.67,8.30
1750,115.08,-1.65,8.33
