Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,34.54,4.80,10.54
100,36.80,6.08,11.45
150,37.26,4.98,11.29
200,36.92,4.48,10.98
250,33.82,3.53,9.81
300,32.88,3.26,9.73
350,36.48,5.18,11.27
400,34.20,4.45,10.37
450,34.60,4.23,10.33
500,36.50,5.51,11.48
550,36.24,5.33,11.27
600,35.70,5.87,11.04
650,41.88,6.91,12.89
700,35.52,5.80,11.24
750,38.34,5.93,11.99
800,38.04,5.64,11.85
850,40.10,6.78,12.63
900,34.30,4.38,10.51
950,40.70,7.03,12.94
1000,41.46,8.41,13.57
1050,39.66,6.57,12.34
1100,36.46,4.48,10.97
1150,36.64,6.45,11.95
1200,33.48,3.76,10.06
1250,37.96,6.52,12.26
1300,34.92,6.46,11.37
1350,37.70,6.19,11.96
1400,43.84,8.09,14.13
1450,36.52,6.00,11.77
1500,33.92,4.96,10.87
1550,38.44,7.39,12.78
1600,34.98,5.03,11.16
1650,36.80,5.89,11.98
1700,38.08,6.71,12.34
1750,36.94,6.13,12.02
1800,36.76,6.09,11.95
1850,30.50,3.95,9.75
1900,44.32,9.24,15.13
1950,36.24,5.67,11.56
2000,31.88,5.61,11.08
2050,38.94,6.38,12.71
2100,28.56,3.42,9.26
2150,35.86,5.40,11.69
2200,34.78,5.11,11.44
2250,33.42,5.10,10.93
2300,41.12,8.97,14.58
2350,37.16,7.24,12.49
2400,40.28,8.11,13.98
2450,36.68,6.61,12.43
2500,35.66,6.56,12.22
2550,33.88,5.98,11.62
2600,32.04,5.90,10.90
2650,34.44,6.55,11.96
2700,35.20,6.24,12.08
2750,35.12,6.99,12.27
2800,34.84,7.22,12.04
2850,34.56,6.50,12.03
2900,43.24,10.48,15.47
2950,34.82,5.64,11.81
3000,31.22,5.89,10.94
3050,32.28,5.90,11.25
3100,33.86,6.06,11.71
3150,36.94,7.71,13.05
3200,33.22,6.72,12.11
3250,38.58,7.91,13.65
3300,35.58,7.44,12.87
3350,33.40,5.98,11.74
3400,32.50,5.65,11.59
3450,30.66,4.91,10.74
3500,31.52,5.80,11.22
3550,35.50,6.64,12.52
3600,32.52,6.78,11.74
3650,36.52,6.52,12.90
3700,31.16,4.98,10.83
3750,31.28,5.28,10.84
3800,28.34,5.07,9.77
3850,32.80,6.09,11.50
3900,37.22,7.97,13.24
3950,37.42,8.08,13.37
4000,31.58,5.70,11.27
4050,39.06,9.06,14.24
4100,31.34,6.18,11.22
4150,33.12,5.80,11.69
4200,30.90,6.09,10.95
4250,29.00,5.19,10.15
4300,29.60,5.43,10.51
4350,36.20,8.14,13.32
4400,37.90,8.55,13.69
4450,40.36,9.69,14.87
4500,34.56,6.94,12.45
4550,34.76,7.38,12.54
4600,34.86,7.10,12.60
4650,31.80,6.21,11.48
4700,36.92,7.97,13.21
4750,37.44,7.76,13.34
4800,31.60,5.15,11.06
4850,32.56,6.63,11.89
4900,31.62,5.94,11.36
4950,37.14,7.34,13.33
5000,33.12,5.70,11.76
5050,32.68,5.94,11.72
5100,33.40,6.62,12.02
5150,35.54,7.16,12.53
5200,36.72,7.68,13.28
5250,32.60,6.48,11.64
5300,34.52,7.15,12.33
5350,34.80,6.66,12.03
5400,43.58,10.81,16.05
5450,31.12,4.96,10.91
5500,42.40,9.22,15.13
5550,35.24,6.92,12.51
5600,34.66,6.89,12.22
5650,33.56,6.67,11.89
5700,29.42,5.74,10.41
5750,36.46,7.73,13.17
5800,33.00,5.91,11.86
5850,32.40,6.71,11.56
5900,34.76,6.76,12.47
5950,32.12,6.28,11.74
6000,36.58,8.18,13.30
6050,33.04,6.34,11.70
6100,35.86,7.48,13.00
