Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,784.32,-3.14,7.84
100,716.88,-2.60,7.65
150,692.86,-2.09,8.13
200,642.06,-1.73,8.29
250,585.40,-1.35,8.30
300,599.12,-1.53,8.30
350,558.16,-1.41,8.28
400,582.42,-1.39,8.29
450,534.30,-1.50,8.30
500,536.34,-1.48,8.30
550,502.12,-1.37,8.30
600,521.26,-1.37,8.30
650,522.30,-1.51,8.32
700,510.54,-1.42,8.32
750,483.00,-1.47,8.29
800,498.96,-1.33,8.30
850,502.00,-1.55,8.30
900,519.22,-1.61,8.32
950,507.68,-1.62,8.29
1000,488.06,-1.56,8.31
1050,477.04,-1.65,8.29
1100,473.88,-1.56,8.29
1150,496.82,-1.60,8.34
1200,477.28,-1.62,8.31
1250,465.32,-1.53,8.29
1300,472.82,-1.50,8.31
1350,457.64,-1.59,8.31
1400,478.12,-1.67,8.30
1450,471.72,-1.56,8.30
1500,452.20,-1.48,8.29
1550,454.96,-1.62,8.28
1600,438.12,-1.49,8.31
1650,437.30,-1.47,8.29
1700,435.18,-1.40,8.29
1750,414.06,-1.32,8.29
1800,420.38,-1.35,8.32
1850,389.74,-1.22,8.31
1900,398.90,-1.31,8.32
1950,374.00,-1.06,8.28
2000,369.24,-1.14,8.28
2050,370.24,-1.08,8.29
2100,395.76,-1.10,8.32
2150,380.66,-1.17,8.30
2200,389.56,-1.16,8.32
2250,400.38,-1.19,8.30
2300,367.52,-1.14,8.29
2350,369.46,-1.12,8.30
2400,369.88,-1.10,8.28
2450,367.12,-1.08,8.29
2500,353.98,-1.02,8.30
2550,368.06,-1.12,8.31
2600,362.94,-1.01,8.30
2650,348.10,-0.96,8.29
2700,340.20,-0.95,8.32
2750,357.26,-1.05,8.30
2800,348.80,-0.92,8.32
2850,359.06,-1.09,8.30
2900,370.80,-1.18,8.31
2950,391.12,-1.30,8.29
3000,397.66,-1.29,8.31
3050,370.92,-1.14,8.35
3100,367.96,-0.97,8.39
3150,388.52,-1.28,8.32
3200,375.02,-1.16,8.36
3250,390.06,-1.07,8.39
3300,410.84,-1.48,8.33
3350,405.64,-1.47,8.32
3400,388.56,-1.18,8.34
3450,366.76,-1.03,8.38
3500,377.68,-1.22,8.35
3550,367.28,-1.13,8.40
3600,403.86,-1.00,8.45
3650,422.28,-1.18,8.44
3700,381.74,-0.94,8.41
3750,376.88,-1.00,8.43
3800,371.10,-0.97,8.43
3850,371.82,-1.20,8.38
3900,379.28,-0.94,8.41
3950,374.20,-0.67,8.56
4000,370.70,-0.69,8.43
4050,378.82,-0.60,8.36
4100,377.90,-0.25,8.58
4150,363.16,-0.28,8.48
4200,361.42,-0.70,8.43
4250,382.60,-0.14,8.60
4300,404.66,0.00,8.89
4350,390.00,-0.57,8.51
4400,348.14,0.30,8.61
4450,359.24,0.83,8.66
4500,341.06,0.32,8.46
4550,327.92,0.64,8.99
4600,327.16,0.82,8.71
4650,304.72,0.51,8.30
4700,303.54,0.88,8.95
4750,280.18,0.40,8.41
4800,293.96,0.54,8.66
4850,290.80,2.06,9.41
4900,280.90,0.50,8.58
4950,268.86,0.97,8.51
5000,300.68,1.34,8.96
5050,252.96,1.51,8.44
5100,275.48,1.75,9.06
5150,264.96,1.28,8.66
5200,251.76,1.86,8.77
5250,261.12,0.83,8.67
5300,257.12,2.18,9.62
5350,270.86,1.01,8.85
5400,276.62,0.13,8.58
5450,253.22,1.90,9.08
5500,247.78,1.23,8.52
5550,239.86,1.54,8.54
5600,259.38,2.63,9.45
5650,227.62,1.86,8.54
5700,235.52,1.74,8.69
5750,220.20,2.44,9.33
5800,233.22,2.64,9.11
5850,218.88,1.54,8.39
5900,227.28,2.69,9.24
5950,228.24,2.89,9.67
6000,214.12,1.68,8.67
6050,230.52,3.07,9.61
6100,212.12,2.52,9.54
6150,205.52,2.73,9.61
6200,203.34,1.70,8.93
6250,210.22,2.79,10.06
6300,201.78,1.81,9.12
6350,191.92,2.48,9.10
6400,194.36,2.54,9.25
6450,194.48,2.25,8.94
6500,202.30,2.47,9.45
6550,196.48,2.98,9.18
6600,191.44,2.18,9.12
6650,192.60,2.89,9.23
6700,209.22,3.16,9.95
6750,194.28,2.17,8.93
6800,185.42,2.36,8.51
6850,191.84,2.73,9.29
6900,171.74,2.50,8.68
6950,195.70,3.97,10.14
7000,190.62,2.41,9.32
7050,180.70,2.95,9.02
7100,203.22,3.07,9.95
7150,192.30,2.66,9.55
7200,159.62,2.72,8.77
7250,182.64,2.67,9.09
7300,186.84,4.13,10.39
7350,174.68,2.53,9.38
7400,159.76,2.38,8.50
7450,170.52,3.55,9.72
7500,154.62,2.79,8.56
7550,209.56,6.19,12.51
7600,193.50,5.10,11.11
7650,164.82,3.51,9.20
7700,194.92,4.03,10.50
7750,167.44,2.79,9.30
7800,171.62,3.38,9.84
7850,164.32,3.40,9.33
7900,166.80,2.46,9.02
7950,171.90,4.27,10.43
8000,143.60,3.13,8.36
8050,155.92,3.59,9.38
8100,169.16,4.14,10.63
8150,155.90,3.49,9.46
8200,167.86,3.70,10.23
8250,178.28,4.64,10.80
8300,178.08,4.77,11.14
8350,155.00,3.26,9.66
8400,163.14,4.30,10.11
8450,167.46,4.58,10.65
8500,147.66,3.48,9.11
8550,160.96,3.69,9.94
8600,165.54,5.06,10.54
8650,145.52,3.34,8.92
8700,141.62,2.98,8.97
8750,154.76,3.58,9.56
8800,166.24,5.07,10.77
8850,191.38,6.74,12.41
8900,155.46,4.91,10.62
8950,156.42,4.91,10.30
9000,173.44,5.70,11.46
9050,172.22,6.47,12.13
9100,139.66,3.24,8.95
9150,139.34,2.96,8.79
9200,148.62,4.29,9.70
9250,155.20,4.79,10.53
9300,156.42,5.54,10.86
9350,160.36,5.52,10.93
9400,142.54,3.59,9.16
9450,154.76,4.93,10.66
9500,139.34,3.94,9.25
9550,130.62,3.32,8.69
9600,149.20,3.81,9.30
9650,158.56,5.20,10.95
9700,138.36,4.13,9.36
9750,140.58,5.11,9.94
9800,183.84,7.15,13.09
9850,141.40,3.67,9.45
9900,141.60,3.80,9.67
9950,143.88,5.15,9.94
10000,149.70,5.41,10.56
10050,136.20,3.34,9.30
10100,154.28,5.80,11.26
10150,146.26,4.82,10.19
10200,165.40,5.56,11.43
10250,151.70,5.28,10.76
10300,146.64,4.56,10.26
10350,176.06,6.74,12.80
10400,144.70,4.13,9.95
10450,151.00,4.71,10.19
10500,136.72,4.22,9.52
10550,153.88,5.34,10.84
10600,150.16,5.39,10.88
10650,125.96,4.02,9.07
10700,141.26,3.50,9.76
10750,154.06,5.63,11.44
10800,164.06,6.32,11.86
10850,149.80,5.19,10.56
10900,130.08,4.46,9.39
10950,162.36,5.70,11.41
11000,162.62,6.14,11.36
11050,171.80,6.88,12.27
11100,157.94,5.81,11.53
11150,155.58,5.64,11.24
11200,166.54,5.80,11.75
11250,150.90,4.74,10.36
11300,144.60,4.69,10.45
11350,169.56,5.72,11.92
11400,195.08,8.32,14.06
11450,167.94,6.84,12.16
11500,160.34,5.68,11.32
11550,156.52,5.80,11.27
11600,167.90,6.48,12.16
11650,148.30,5.14,10.60
11700,146.10,5.31,10.37
11750,162.32,6.40,11.69
11800,154.58,5.87,10.95
11850,158.08,5.15,11.08
11900,160.72,5.99,11.47
11950,167.80,6.08,11.82
12000,177.42,6.71,12.72
12050,146.26,4.99,10.50
12100,160.30,6.68,11.74
12150,142.44,5.16,10.16
12200,175.66,7.40,12.71
12250,148.50,5.67,10.51
12300,160.04,5.86,11.69
12350,149.52,5.95,10.79
12400,138.96,5.32,9.98
12450,202.60,9.37,14.83
12500,155.40,6.34,11.50
12550,175.58,8.14,12.81
12600,164.96,7.20,12.13
12650,165.70,7.37,12.72
12700,141.28,5.12,10.48
12750,157.06,6.76,11.64
12800,158.56,6.22,11.64
12850,145.94,6.04,10.96
12900,152.96,6.49,11.80
12950,139.06,4.77,9.85
13000,175.50,7.29,13.04
13050,157.74,6.37,11.77
13100,188.34,8.63,14.39
13150,156.58,6.59,11.77
13200,185.96,8.48,13.86
13250,157.10,6.56,11.65
13300,186.08,9.14,14.12
13350,176.68,8.26,13.27
13400,137.66,5.75,10.23
13450,187.50,9.39,14.50
13500,182.06,8.35,13.86
13550,142.82,5.81,10.68
13600,149.10,5.36,11.03
13650,151.26,6.15,11.34
13700,153.84,6.42,11.62
13750,149.80,5.44,10.99
13800,154.30,6.65,11.45
13850,126.12,4.10,9.34
13900,162.24,6.67,11.88
13950,132.88,4.01,9.72
14000,158.38,6.82,12.06
14050,150.82,6.10,11.03
14100,176.96,7.96,13.14
14150,182.06,8.46,13.76
14200,160.02,7.02,12.01
14250,129.66,4.21,9.67
14300,154.62,6.59,11.46
14350,133.74,4.77,9.82
14400,175.34,7.46,13.51
14450,131.06,4.91,10.04
14500,129.94,4.73,9.64
14550,126.84,4.96,9.46
14600,156.48,6.48,11.59
14650,164.00,7.21,12.41
14700,131.52,5.24,9.81
14750,164.14,6.69,12.05
14800,179.72,8.64,13.69
14850,147.42,5.36,10.94
14900,160.36,7.18,12.14
14950,150.06,6.72,11.40
15000,154.44,6.83,11.85
15050,166.92,7.66,12.68
15100,124.70,4.91,9.50
15150,126.50,4.78,9.86
15200,173.76,7.55,13.06
15250,123.18,3.40,8.99
15300,137.00,5.02,10.51
15350,159.98,6.87,12.19
15400,137.36,5.65,10.68
15450,139.28,5.56,10.77
15500,144.44,5.91,11.15
15550,146.88,5.69,11.28
15600,177.60,8.92,13.95
15650,174.18,8.31,13.45
15700,154.90,6.74,12.04
15750,134.60,5.16,10.45
15800,151.10,5.98,11.45
15850,135.60,5.28,10.43
15900,134.36,4.98,10.30
15950,155.02,7.05,12.18
16000,143.08,6.30,10.99
16050,147.42,6.58,11.38
16100,144.24,5.82,11.01
16150,149.74,5.58,11.17
16200,175.16,8.69,13.82
16250,146.28,6.44,11.43
16300,160.16,6.94,12.12
16350,154.38,6.82,11.92
16400,135.92,5.64,10.36
16450,158.30,7.68,12.15
16500,145.36,6.56,11.41
16550,119.22,3.86,8.86
16600,162.62,7.58,12.46
16650,126.44,4.65,9.61
16700,158.42,6.99,12.21
16750,146.40,5.93,11.12
16800,140.70,5.93,11.02
16850,180.62,8.63,13.81
16900,145.78,6.24,11.08
16950,152.94,6.86,11.92
17000,190.52,9.89,14.93
17050,162.72,7.75,12.83
17100,158.80,6.84,12.15
17150,155.06,7.25,12.15
17200,152.52,6.98,11.90
17250,136.36,4.66,10.40
17300,145.28,5.78,11.06
17350,156.68,6.81,11.90
17400,175.50,9.15,13.74
17450,166.56,7.53,12.89
17500,144.22,5.73,10.83
17550,158.42,7.13,12.26
17600,151.96,6.89,11.80
17650,131.74,5.07,10.01
17700,153.48,6.58,11.45
17750,163.32,7.27,12.33
17800,168.60,7.47,12.95
17850,166.40,8.30,13.00
17900,183.50,8.92,14.23
17950,177.80,8.36,13.32
18000,170.98,8.05,12.83
18050,157.92,6.95,11.86
18100,151.56,6.31,11.25
18150,169.60,7.81,13.26
18200,185.56,9.74,14.14
18250,141.30,5.77,10.62
18300,146.54,5.98,11.05
18350,147.68,5.51,10.93
18400,181.56,8.76,13.81
18450,169.96,8.52,13.17
18500,161.14,7.08,12.16
18550,183.42,8.24,13.68
18600,157.62,7.03,11.81
18650,205.14,10.52,15.73
18700,159.86,7.80,12.48
18750,162.18,7.56,12.45
18800,158.72,7.56,12.48
18850,163.28,7.91,12.69
18900,188.90,9.61,14.47
18950,140.38,6.08,10.81
19000,138.70,5.73,10.56
19050,152.16,6.93,11.76
19100,165.86,8.11,12.75
19150,166.18,8.16,13.09
19200,159.34,6.62,11.72
19250,168.30,8.05,12.79
19300,131.96,4.46,9.90
19350,160.90,7.82,12.52
19400,132.74,4.79,10.07
19450,157.86,7.05,12.24
19500,187.02,9.82,14.54
19550,176.38,8.31,13.37
19600,184.26,9.20,14.12
19650,179.40,8.56,13.73
19700,150.66,7.18,11.42
19750,150.68,5.98,11.47
19800,166.34,8.06,12.92
19850,148.54,6.27,11.15
19900,127.58,5.20,9.73
19950,141.78,6.31,11.20
20000,191.74,9.83,14.91
20050,131.34,4.92,9.88
20100,154.22,6.61,11.81
20150,160.58,7.07,12.20
20200,148.36,6.38,11.03
20250,158.14,7.40,12.06
20300,173.84,8.70,13.47
20350,159.36,7.61,12.20
20400,163.32,7.16,12.05
20450,177.26,8.88,13.65
20500,185.60,9.85,14.37
20550,155.84,7.44,12.08
20600,163.72,7.59,12.34
20650,173.92,8.85,13.43
20700,175.20,8.95,13.36
20750,165.06,7.35,12.46
20800,160.28,7.63,12.28
20850,138.20,5.62,10.51
20900,149.78,6.96,11.43
20950,172.32,7.93,12.95
21000,150.74,6.41,11.36
21050,170.66,7.48,12.60
21100,147.06,6.76,11.06
21150,111.32,3.24,8.35
21200,147.08,6.43,11.16
21250,169.16,8.06,12.65
21300,148.54,6.09,10.92
21350,163.46,7.79,12.38
21400,179.32,8.98,13.76
21450,163.98,7.53,12.35
21500,163.14,6.14,11.80
21550,164.58,7.93,12.44
21600,160.98,7.42,12.09
21650,154.32,6.55,11.43
21700,170.70,7.97,12.46
21750,153.78,7.13,11.77
21800,160.56,7.24,12.40
21850,152.70,6.98,11.85
21900,132.58,5.04,10.02
21950,165.68,7.86,12.56
22000,159.02,7.32,11.98
22050,168.88,7.91,12.84
22100,194.68,10.73,15.32
22150,160.00,6.69,11.90
22200,179.56,9.30,14.02
22250,169.88,8.34,13.12
22300,163.32,7.17,12.43
22350,142.70,5.89,10.79
22400,177.92,8.57,13.81
22450,166.04,7.88,12.57
50,34.54,4.80,10.54
100,36.80,6.08,11.45
150,37.26,4.98,11.29
200,36.92,4.48,10.98
250,33.82,3.53,9.81
300,32.88,3.26,9.73
350,36.48,5.18,11.27
400,34.20,4.45,10.37
450,34.60,4.23,10.33
500,36.50,5.51,11.48
550,36.24,5.33,11.27
600,35.70,5.87,11.04
650,41.88,6.91,12.89
700,35.52,5.80,11.24
750,38.34,5.93,11.99
800,38.04,5.64,11.85
850,40.10,6.78,12.63
900,34.30,4.38,10.51
950,40.70,7.03,12.94
1000,41.46,8.41,13.57
1050,39.66,6.57,12.34
1100,36.46,4.48,10.97
1150,36.64,6.45,11.95
1200,33.48,3.76,10.06
1250,37.96,6.52,12.26
1300,34.92,6.46,11.37
1350,37.70,6.19,11.96
1400,43.84,8.09,14.13
1450,36.52,6.00,11.77
1500,33.92,4.96,10.87
1550,38.44,7.39,12.78
1600,34.98,5.03,11.16
1650,36.80,5.89,11.98
1700,38.08,6.71,12.34
1750,36.94,6.13,12.02
1800,36.76,6.09,11.95
1850,30.50,3.95,9.75
1900,44.32,9.24,15.13
1950,36.24,5.67,11.56
2000,31.88,5.61,11.08
2050,38.94,6.38,12.71
2100,28.56,3.42,9.26
2150,35.86,5.40,11.69
2200,34.78,5.11,11.44
2250,33.42,5.10,10.93
2300,41.12,8.97,14.58
2350,37.16,7.24,12.49
2400,40.28,8.11,13.98
2450,36.68,6.61,12.43
2500,35.66,6.56,12.22
2550,33.88,5.98,11.62
2600,32.04,5.90,10.90
2650,34.44,6.55,11.96
2700,35.20,6.24,12.08
2750,35.12,6.99,12.27
2800,34.84,7.22,12.04
2850,34.56,6.50,12.03
2900,43.24,10.48,15.47
2950,34.82,5.64,11.81
3000,31.22,5.89,10.94
3050,32.28,5.90,11.25
3100,33.86,6.06,11.71
