Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
50,210.88,0.62,8.62
100,209.04,0.30,8.60
150,214.44,0.27,8.63
200,206.62,0.02,8.63
250,214.78,0.12,8.70
300,185.16,1.08,8.64
350,182.60,0.82,8.58
400,187.80,0.46,8.66
450,181.10,0.80,8.60
500,190.48,0.01,8.49
550,172.70,0.76,8.70
600,156.02,1.03,8.55
650,148.02,1.37,8.55
700,149.54,1.39,8.52
750,151.96,1.59,8.55
800,159.78,0.72,8.48
850,156.68,0.93,8.67
900,140.08,2.52,8.83
950,138.26,1.10,8.50
1000,136.94,1.06,8.44
1050,140.92,0.75,8.32
1100,140.84,1.95,9.07
1150,135.96,1.31,8.52
1200,134.52,1.86,8.32
1250,133.54,2.65,9.00
1300,125.94,1.94,8.63
1350,125.72,2.48,8.68
1400,121.16,2.04,8.17
1450,137.20,1.17,8.70
1500,140.04,1.58,8.91
1550,128.76,1.97,8.80
1600,125.72,1.91,8.36
1650,120.68,2.55,8.74
1700,117.12,2.08,8.39
1750,119.02,2.74,8.81
1800,116.86,2.00,8.51
1850,115.78,2.09,8.24
1900,121.52,2.68,8.89
1950,118.56,1.56,8.83
2000,132.00,2.56,9.57
2050,112.66,2.04,8.26
2100,125.30,2.50,9.06
2150,127.72,3.41,9.22
2200,115.50,2.51,8.67
2250,117.54,2.07,8.32
2300,110.46,3.04,8.21
2350,123.14,3.53,9.19
2400,113.30,3.01,8.46
2450,122.64,2.20,8.93
2500,120.46,2.29,8.73
2550,117.52,2.06,8.46
2600,109.96,2.27,8.09
2650,110.28,2.46,8.27
2700,116.88,2.66,8.73
2750,122.30,2.48,8.92
2800,116.74,2.77,8.56
2850,112.06,2.61,8.61
2900,112.90,3.15,8.53
2950,110.52,2.14,8.33
3000,113.42,2.46,8.74
3050,115.26,3.01,8.57
3100,118.30,3.19,9.07
3150,114.44,2.90,8.45
3200,117.32,3.49,9.05
3250,111.30,3.03,8.86
3300,113.70,2.64,8.38
3350,115.00,2.77,8.60
3400,130.14,4.16,9.90
3450,114.14,3.63,8.96
3500,116.56,3.49,9.08
3550,123.16,3.88,9.42
3600,125.24,3.81,9.68
3650,128.34,3.13,9.56
3700,120.10,3.41,9.03
3750,115.26,3.39,8.68
3800,119.02,2.60,8.81
3850,112.16,2.24,8.82
3900,110.92,2.49,8.87
3950,108.30,2.62,8.61
4000,110.90,3.04,8.71
4050,107.68,2.85,8.43
4100,108.20,2.53,8.48
4150,112.22,3.35,8.92
4200,111.10,3.04,8.70
4250,122.48,4.52,9.65
4300,110.70,3.51,8.93
4350,111.28,2.50,8.65
4400,110.20,3.38,8.77
4450,105.08,2.92,8.28
4500,129.84,4.42,10.23
4550,104.00,2.32,8.14
4600,102.50,3.07,8.35
4650,116.28,3.92,9.14
4700,112.80,3.64,8.76
4750,109.72,2.63,8.57
4800,119.72,3.08,9.21
4850,117.96,3.21,9.47
4900,109.84,2.53,8.50
4950,116.58,3.21,9.01
5000,105.38,2.73,8.34
5050,126.70,3.94,9.78
5100,126.32,4.14,9.84
5150,114.80,3.75,9.29
5200,119.58,3.62,8.89
