Episode,AvgSteps,AvgCumulativeReward,AvgXDistance
10,140.60,-0.72,7.97
10,141.10,-0.71,8.12
10,139.50,-0.21,8.12
20,145.30,-0.31,8.24
20,150.40,-0.82,8.14
10,177.60,0.89,8.75
30,147.20,0.51,8.61
30,155.10,-0.81,8.30
20,145.60,-0.30,8.45
40,141.00,-0.80,8.23
40,140.50,-0.80,8.34
20,152.10,0.00,8.47
50,143.30,0.71,8.52
50,146.40,-0.82,8.07
30,155.70,-0.82,8.28
60,160.00,-0.31,8.48
30,136.40,-0.30,8.30
60,148.50,-0.82,7.94
70,147.00,-0.31,8.12
70,167.10,-0.83,8.19
40,144.40,-0.31,8.14
80,142.80,-0.30,8.29
40,153.30,-0.32,8.25
80,153.90,-0.31,8.30
90,155.90,-0.31,8.45
90,155.10,-0.82,8.09
50,145.70,-0.80,8.30
100,137.80,-0.81,8.03
50,144.60,-0.81,8.22
100,155.10,-0.81,8.43
110,141.40,-0.80,8.22
110,139.80,-0.81,8.13
120,144.30,-0.31,8.09
60,155.50,-0.82,8.24
60,134.20,-0.80,8.19
120,135.20,0.02,8.55
130,139.20,0.00,8.34
70,122.80,-0.79,8.14
130,121.50,-0.79,8.16
70,133.40,0.02,8.48
140,167.20,0.93,9.46
140,141.80,-0.81,8.06
150,120.20,-0.92,7.48
80,138.00,0.51,8.53
150,132.90,0.02,8.54
80,134.20,0.21,8.46
160,139.00,-0.30,8.19
160,137.70,0.02,8.67
170,150.50,0.51,8.66
90,138.30,0.02,8.53
170,149.00,-0.30,8.41
180,138.10,-0.30,8.26
90,170.10,1.57,10.25
190,133.60,0.53,8.67
180,146.40,0.00,8.36
100,152.00,0.51,8.70
200,136.20,-0.30,8.27
190,144.90,0.51,8.57
100,135.00,0.52,8.66
210,136.00,0.02,8.58
200,206.20,1.86,10.68
110,146.00,0.52,8.73
220,149.30,0.51,8.60
110,128.50,-0.78,8.35
210,131.50,-0.80,8.21
230,115.20,-0.78,8.25
120,131.20,0.02,8.51
220,130.00,0.52,8.57
240,129.30,-0.80,7.98
120,128.80,0.02,8.45
250,113.90,-0.27,8.29
230,150.10,2.27,9.89
130,126.10,0.83,8.66
260,126.90,0.02,8.39
240,113.80,0.41,7.87
130,137.10,0.97,9.57
270,114.00,-0.27,8.32
250,128.20,0.03,8.55
280,131.30,0.23,8.56
140,127.40,0.84,8.75
260,140.20,1.78,9.82
140,129.30,1.47,9.54
290,116.50,0.04,8.50
270,104.50,-0.09,7.70
300,121.50,0.54,8.72
150,120.80,0.54,8.65
280,126.10,0.04,8.69
150,129.80,1.05,9.03
310,126.60,-0.78,8.34
290,117.80,0.04,8.62
160,115.10,0.24,8.62
320,117.00,-0.78,8.28
300,132.40,-0.78,8.42
160,127.20,0.04,8.73
330,124.40,-0.28,8.32
310,132.90,0.02,8.46
340,132.00,0.52,8.59
170,150.10,1.57,9.96
320,101.50,-0.76,8.29
350,125.20,1.35,8.96
170,146.90,2.28,10.01
330,117.20,-0.28,8.22
360,134.90,0.84,8.95
180,128.70,0.52,8.46
340,120.90,-0.27,8.48
370,119.40,0.04,8.65
180,131.20,0.70,8.12
350,125.40,1.36,9.12
380,141.10,0.83,8.84
190,129.50,0.03,8.71
360,141.30,0.97,9.67
390,158.10,2.71,10.91
190,162.60,3.71,11.00
370,107.40,0.41,7.88
400,103.40,-0.77,8.20
200,126.00,0.97,9.47
380,109.90,-0.26,8.41
410,117.80,1.66,9.12
390,106.50,-0.27,8.30
200,121.20,1.04,8.76
210,92.90,-0.89,7.57
420,109.90,1.05,8.61
400,113.40,0.04,8.46
430,117.10,0.85,8.88
410,108.00,0.04,8.38
210,119.10,0.85,8.80
220,109.40,0.05,8.72
440,122.30,0.85,8.87
420,104.80,-0.77,8.21
450,116.80,1.37,9.10
220,106.70,-0.76,8.39
430,122.40,0.85,8.97
230,112.40,-0.78,8.03
460,108.80,0.05,8.64
440,106.80,-0.76,8.34
470,134.70,0.97,9.55
450,106.80,0.04,8.47
240,118.00,-0.78,8.20
230,140.70,2.28,9.86
480,101.10,-0.90,7.59
460,170.20,2.82,11.34
490,114.70,1.36,8.97
250,107.20,-0.77,8.18
240,101.10,-0.40,7.54
470,91.10,1.75,8.19
500,112.60,-0.27,8.35
